Season;Team;No.;Player;Pos;Ht;Wt;Birth Date;Country;Exp;College
2011-12;Cleveland Cavaliers;4;Antawn Jamison;PF;6-8;223;June 12, 1976;us;13;UNC
2011-12;Cleveland Cavaliers;12;D.J. Kennedy;SF;6-6;215;November 5, 1989;us;R;St. John's
2011-12;Cleveland Cavaliers;18;Anthony Parker;SF;6-6;215;June 19, 1975;us;8;Bradley
2011-12;Cleveland Cavaliers;24;Samardo Samuels;C;6-9;260;January 9, 1989;jm;1;Louisville
2011-12;Cleveland Cavaliers;3;Ramon Sessions;PG;6-3;190;April 11, 1986;us;4;Nevada
2011-12;Cleveland Cavaliers;15;Donald Sloan;PG;6-3;205;January 15, 1988;us;R;Texas A&M
2011-12;Cleveland Cavaliers;21;Mychel Thompson;SG;6-6;211;June 1, 1988;us;R;Pepperdine
2011-12;Cleveland Cavaliers;13;Tristan Thompson;PF;6-9;254;March 13, 1991;ca;R;Texas
2011-12;Cleveland Cavaliers;6;Ben Uzoh;PG;6-3;205;March 19, 1988;us;1;Tulsa
2011-12;Cleveland Cavaliers;17;Anderson Varejão;C;6-11;273;September 28, 1982;br;7;
2011-12;Cleveland Cavaliers;32;Luke Walton;PF;6-8;235;March 28, 1980;us;8;Arizona
2012-13;Cleveland Cavaliers;36;Omri Casspi;SF;6-9;225;June 22, 1988;il;3;
2012-13;Cleveland Cavaliers;21;Wayne Ellington;SG;6-4;207;November 29, 1987;us;3;UNC
2012-13;Cleveland Cavaliers;33;Alonzo Gee;SF;6-6;225;May 29, 1987;us;3;Alabama
2012-13;Cleveland Cavaliers;1;Daniel Gibson;PG;6-2;190;February 27, 1986;us;6;Texas
2012-13;Cleveland Cavaliers;2;Kyrie Irving;PG;6-2;195;March 23, 1992;au;1;Duke
2012-13;Cleveland Cavaliers;5;Kevin Jones;PF;6-8;251;August 25, 1989;us;R;West Virginia
2012-13;Cleveland Cavaliers;30;Jon Leuer;C;6-10;228;May 14, 1989;us;1;Wisconsin
2012-13;Cleveland Cavaliers;14;Shaun Livingston;PG;6-7;192;September 11, 1985;us;7;
2012-13;Cleveland Cavaliers;0;C.J. Miles;SF;6-6;220;March 18, 1987;us;7;
2012-13;Cleveland Cavaliers;8;Jeremy Pargo;PG;6-2;219;March 17, 1986;us;1;Gonzaga
2012-13;Cleveland Cavaliers;20;Chris Quinn;SG;6-2;185;September 27, 1983;us;5;Notre Dame
2012-13;Cleveland Cavaliers;24;Samardo Samuels;C;6-9;260;January 9, 1989;jm;2;Louisville
2012-13;Cleveland Cavaliers;15;Donald Sloan;SG;6-3;205;January 15, 1988;us;1;Texas A&M
2012-13;Cleveland Cavaliers;15;Marreese Speights;C;6-10;255;August 4, 1987;us;4;Florida
2012-13;Cleveland Cavaliers;13;Tristan Thompson;PF;6-9;254;March 13, 1991;ca;1;Texas
2012-13;Cleveland Cavaliers;17;Anderson Varejão;C;6-11;273;September 28, 1982;br;8;
2012-13;Cleveland Cavaliers;3;Dion Waiters;SG;6-3;215;December 10, 1991;us;R;Syracuse
2012-13;Cleveland Cavaliers;4;Luke Walton;PF;6-8;235;March 28, 1980;us;9;Arizona
2012-13;Cleveland Cavaliers;40;Tyler Zeller;C;7-0;253;January 17, 1990;us;R;UNC
2013-14;Cleveland Cavaliers;15;Anthony Bennett;PF;6-8;245;March 14, 1993;ca;R;UNLV
2013-14;Cleveland Cavaliers;21;Andrew Bynum;C;7-0;285;October 27, 1987;us;7;
2013-14;Cleveland Cavaliers;6;Earl Clark;PF;6-10;225;January 17, 1988;us;4;Louisville
2013-14;Cleveland Cavaliers;31;Seth Curry;PG;6-2;185;August 23, 1990;us;R;Liberty, Duke
2013-14;Cleveland Cavaliers;8, 9;Matthew Dellavedova;SG;6-3;200;September 8, 1990;au;R;Saint Mary's
2013-14;Cleveland Cavaliers;9;Luol Deng;SF;6-9;237;April 16, 1985;ss;9;Duke
2013-14;Cleveland Cavaliers;24;Shane Edwards;SF;6-7;220;May 31, 1987;us;R;Little Rock
2013-14;Cleveland Cavaliers;30;Carrick Felix;SG;6-6;201;August 17, 1990;us;R;Arizona State
2013-14;Cleveland Cavaliers;33;Alonzo Gee;SF;6-6;225;May 29, 1987;us;4;Alabama
2013-14;Cleveland Cavaliers;32;Spencer Hawes;C;7-1;245;April 28, 1988;us;6;Washington
2013-14;Cleveland Cavaliers;24;Scotty Hopson;SG;6-7;204;August 8, 1989;us;R;Tennessee
2013-14;Cleveland Cavaliers;2;Kyrie Irving;PG;6-2;195;March 23, 1992;au;2;Duke
2013-14;Cleveland Cavaliers;1;Jarrett Jack;PG;6-3;200;October 28, 1983;us;8;Georgia Tech
2013-14;Cleveland Cavaliers;10;Sergey Karasev;SF;6-7;208;October 26, 1993;ru;R;
2013-14;Cleveland Cavaliers;0;C.J. Miles;SG;6-6;220;March 18, 1987;us;8;
2013-14;Cleveland Cavaliers;50;Arinze Onuaku;PF;6-9;255;July 13, 1987;us;R;Syracuse
2013-14;Cleveland Cavaliers;14;Henry Sims;C;6-10;248;March 27, 1990;us;1;Georgetown
2013-14;Cleveland Cavaliers;13;Tristan Thompson;PF;6-9;254;March 13, 1991;ca;2;Texas
2013-14;Cleveland Cavaliers;17;Anderson Varejão;C;6-11;273;September 28, 1982;br;9;
2013-14;Cleveland Cavaliers;3;Dion Waiters;SG;6-3;215;December 10, 1991;us;1;Syracuse
2013-14;Cleveland Cavaliers;40;Tyler Zeller;C;7-0;253;January 17, 1990;us;1;UNC
2014-15;Cleveland Cavaliers;89;Lou Amundson;PF;6-9;220;December 7, 1982;us;8;UNLV
2014-15;Cleveland Cavaliers;5;Will Cherry;PG;6-0;185;February 8, 1991;us;R;Montana
2014-15;Cleveland Cavaliers;8;Matthew Dellavedova;SG;6-3;200;September 8, 1990;au;1;Saint Mary's
2014-15;Cleveland Cavaliers;12;Joe Harris;SG;6-6;220;September 6, 1991;us;R;Virginia
2014-15;Cleveland Cavaliers;33;Brendan Haywood;C;7-0;268;November 27, 1979;us;12;UNC
2014-15;Cleveland Cavaliers;2;Kyrie Irving;PG;6-2;195;March 23, 1992;au;3;Duke
2014-15;Cleveland Cavaliers;23;LeBron James;SF;6-9;250;December 30, 1984;us;11;
2014-15;Cleveland Cavaliers;1;James Jones;SF;6-8;218;October 4, 1980;us;11;Miami (FL)
2014-15;Cleveland Cavaliers;53;Alex Kirk;C;7-0;245;November 14, 1991;us;R;New Mexico
2014-15;Cleveland Cavaliers;0;Kevin Love;PF;6-8;251;September 7, 1988;us;6;UCLA
2014-15;Cleveland Cavaliers;31;Shawn Marion;SF;6-7;220;May 7, 1978;us;15;Vincennes University, UNLV
2014-15;Cleveland Cavaliers;18;Mike Miller;SF;6-8;218;February 19, 1980;us;14;Florida
2014-15;Cleveland Cavaliers;20;Timofey Mozgov;C;7-1;275;July 16, 1986;ru;4;
2014-15;Cleveland Cavaliers;3;Kendrick Perkins;C;6-10;270;November 10, 1984;us;11;
2014-15;Cleveland Cavaliers;21;A.J. Price;PG;6-2;181;October 7, 1986;us;5;UConn
2014-15;Cleveland Cavaliers;4;Iman Shumpert;SG;6-5;215;June 26, 1990;us;3;Georgia Tech
2014-15;Cleveland Cavaliers;5;J.R. Smith;SG;6-6;225;September 9, 1985;us;10;
2014-15;Cleveland Cavaliers;13;Tristan Thompson;PF;6-9;254;March 13, 1991;ca;3;Texas
2014-15;Cleveland Cavaliers;17;Anderson Varejão;C;6-11;273;September 28, 1982;br;10;
2014-15;Cleveland Cavaliers;3;Dion Waiters;SG;6-3;215;December 10, 1991;us;2;Syracuse
2015-16;Cleveland Cavaliers;9;Jared Cunningham;SG;6-4;195;May 22, 1991;us;3;Oregon State
2015-16;Cleveland Cavaliers;8;Matthew Dellavedova;PG;6-3;200;September 8, 1990;au;2;Saint Mary's
2015-16;Cleveland Cavaliers;9;Channing Frye;C;7-0;255;May 17, 1983;us;9;Arizona
2015-16;Cleveland Cavaliers;12;Joe Harris;SG;6-6;220;September 6, 1991;us;1;Virginia
2015-16;Cleveland Cavaliers;2;Kyrie Irving;PG;6-2;195;March 23, 1992;au;4;Duke
2015-16;Cleveland Cavaliers;23;LeBron James;SF;6-9;250;December 30, 1984;us;12;
2015-16;Cleveland Cavaliers;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;14;Arizona
2015-16;Cleveland Cavaliers;30;Dahntay Jones;SF;6-6;225;December 27, 1980;us;11;Rutgers University, Duke
2015-16;Cleveland Cavaliers;1;James Jones;SF;6-8;218;October 4, 1980;us;12;Miami (FL)
2015-16;Cleveland Cavaliers;14;Sasha Kaun;C;6-11;260;May 8, 1985;ru;R;Kansas
2015-16;Cleveland Cavaliers;0;Kevin Love;PF;6-8;251;September 7, 1988;us;7;UCLA
2015-16;Cleveland Cavaliers;12;Jordan McRae;PG;6-5;179;March 28, 1991;us;R;Tennessee
2015-16;Cleveland Cavaliers;20;Timofey Mozgov;C;7-1;275;July 16, 1986;ru;5;
2015-16;Cleveland Cavaliers;4;Iman Shumpert;SG;6-5;215;June 26, 1990;us;4;Georgia Tech
2015-16;Cleveland Cavaliers;5;J.R. Smith;SG;6-6;225;September 9, 1985;us;11;
2015-16;Cleveland Cavaliers;13;Tristan Thompson;PF;6-9;254;March 13, 1991;ca;4;Texas
2015-16;Cleveland Cavaliers;17;Anderson Varejão;C;6-11;273;September 28, 1982;br;11;
2015-16;Cleveland Cavaliers;52;Mo Williams;PG;6-1;198;December 19, 1982;us;12;Alabama
2016-17;Cleveland Cavaliers;0;Chris Andersen;C;6-10;245;July 7, 1978;us;14;Blinn College
2016-17;Cleveland Cavaliers;6;Andrew Bogut;C;7-0;260;November 28, 1984;au;11;Utah
2016-17;Cleveland Cavaliers;3;Mike Dunleavy;SF;6-9;230;September 15, 1980;us;14;Duke
2016-17;Cleveland Cavaliers;20;Kay Felder;PG;5-9;176;March 29, 1995;us;R;Oakland
2016-17;Cleveland Cavaliers;8;Channing Frye;C;7-0;255;May 17, 1983;us;10;Arizona
2016-17;Cleveland Cavaliers;2;Kyrie Irving;PG;6-2;195;March 23, 1992;au;5;Duke
2016-17;Cleveland Cavaliers;23;LeBron James;SF;6-9;250;December 30, 1984;us;13;
2016-17;Cleveland Cavaliers;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;15;Arizona
2016-17;Cleveland Cavaliers;30;Dahntay Jones;SF;6-6;225;December 27, 1980;us;12;Rutgers University, Duke
2016-17;Cleveland Cavaliers;1;James Jones;SF;6-8;218;October 4, 1980;us;13;Miami (FL)
2016-17;Cleveland Cavaliers;26;Kyle Korver;SG;6-7;212;March 17, 1981;us;13;Creighton
2016-17;Cleveland Cavaliers;14;DeAndre Liggins;SG;6-6;209;March 31, 1988;us;3;Kentucky
2016-17;Cleveland Cavaliers;0;Kevin Love;PF;6-8;251;September 7, 1988;us;8;UCLA
2016-17;Cleveland Cavaliers;12;Jordan McRae;SG;6-5;179;March 28, 1991;us;1;Tennessee
2016-17;Cleveland Cavaliers;9;Larry Sanders;C;6-11;235;November 21, 1988;us;5;VCU
2016-17;Cleveland Cavaliers;4;Iman Shumpert;SG;6-5;215;June 26, 1990;us;5;Georgia Tech
2016-17;Cleveland Cavaliers;5;J.R. Smith;SG;6-6;225;September 9, 1985;us;12;
2016-17;Cleveland Cavaliers;40;Edy Tavares;C;7-3;260;March 22, 1992;cv;1;
2016-17;Cleveland Cavaliers;13;Tristan Thompson;C;6-9;254;March 13, 1991;ca;5;Texas
2016-17;Cleveland Cavaliers;31;Deron Williams;PG;6-3;200;June 26, 1984;us;11;Illinois
2016-17;Cleveland Cavaliers;3, 32;Derrick Williams;PF;6-8;240;May 25, 1991;us;5;Arizona
2017-18;Cleveland Cavaliers;81;José Calderón;PG;6-3;200;September 28, 1981;es;12;
2017-18;Cleveland Cavaliers;8;Jordan Clarkson;SG;6-4;194;June 7, 1992;us;3;Tulsa, Missouri
2017-18;Cleveland Cavaliers;99;Jae Crowder;SF;6-6;235;July 6, 1990;us;5;Marquette
2017-18;Cleveland Cavaliers;8;Channing Frye;C;7-0;255;May 17, 1983;us;11;Arizona
2017-18;Cleveland Cavaliers;32;Jeff Green;PF;6-8;235;August 28, 1986;us;9;Georgetown
2017-18;Cleveland Cavaliers;3;George Hill;PG;6-4;188;May 4, 1986;us;9;IUPUI
2017-18;Cleveland Cavaliers;10;John Holland;SF;6-5;205;November 6, 1988;us;1;Boston University
2017-18;Cleveland Cavaliers;1;Rodney Hood;SG;6-8;208;October 20, 1992;us;3;Mississippi State, Duke
2017-18;Cleveland Cavaliers;23;LeBron James;PF;6-9;250;December 30, 1984;us;14;
2017-18;Cleveland Cavaliers;26;Kyle Korver;SG;6-7;212;March 17, 1981;us;14;Creighton
2017-18;Cleveland Cavaliers;0;Kevin Love;C;6-8;251;September 7, 1988;us;9;UCLA
2017-18;Cleveland Cavaliers;22, 24;Larry Nance Jr.;C;6-7;245;January 1, 1993;us;2;Wyoming
2017-18;Cleveland Cavaliers;16;Cedi Osman;SF;6-7;230;April 8, 1995;mk;R;
2017-18;Cleveland Cavaliers;21;Kendrick Perkins;C;6-10;270;November 10, 1984;us;13;
2017-18;Cleveland Cavaliers;15;London Perrantes;PG;6-2;200;October 3, 1994;us;R;Virginia
2017-18;Cleveland Cavaliers;1;Derrick Rose;PG;6-3;200;October 4, 1988;us;8;Memphis
2017-18;Cleveland Cavaliers;4;Iman Shumpert;SG;6-5;215;June 26, 1990;us;6;Georgia Tech
2017-18;Cleveland Cavaliers;5;J.R. Smith;SG;6-6;225;September 9, 1985;us;13;
2017-18;Cleveland Cavaliers;3;Isaiah Thomas;PG;5-9;185;February 7, 1989;us;6;Washington
2017-18;Cleveland Cavaliers;13;Tristan Thompson;C;6-9;254;March 13, 1991;ca;6;Texas
2017-18;Cleveland Cavaliers;9;Dwyane Wade;SG;6-4;220;January 17, 1982;us;14;Marquette
2017-18;Cleveland Cavaliers;41;Ante Žižić;C;6-10;266;January 4, 1997;hr;R;
2018-19;Cleveland Cavaliers;32;Deng Adel;SF;6-7;200;February 1, 1997;ss;R;Louisville
2018-19;Cleveland Cavaliers;4;Jaron Blossomgame;SF;6-8;220;September 16, 1993;us;R;Clemson
2018-19;Cleveland Cavaliers;10;Alec Burks;SG;6-6;214;July 20, 1991;us;7;Colorado
2018-19;Cleveland Cavaliers;3;Marquese Chriss;PF;6-9;240;July 2, 1997;us;2;Washington
2018-19;Cleveland Cavaliers;8;Jordan Clarkson;SG;6-4;194;June 7, 1992;us;4;Tulsa, Missouri
2018-19;Cleveland Cavaliers;15;Sam Dekker;PF;6-9;230;May 6, 1994;us;3;Wisconsin
2018-19;Cleveland Cavaliers;18;Matthew Dellavedova;PG;6-3;200;September 8, 1990;au;5;Saint Mary's
2018-19;Cleveland Cavaliers;9;Channing Frye;C;7-0;255;May 17, 1983;us;12;Arizona
2018-19;Cleveland Cavaliers;55;Andrew Harrison;PG;6-6;213;October 28, 1994;us;2;Kentucky
2018-19;Cleveland Cavaliers;3;George Hill;PG;6-4;188;May 4, 1986;us;10;IUPUI
2018-19;Cleveland Cavaliers;10;John Holland;SF;6-5;205;November 6, 1988;us;2;Boston University
2018-19;Cleveland Cavaliers;1;Rodney Hood;SG;6-8;208;October 20, 1992;us;4;Mississippi State, Duke
2018-19;Cleveland Cavaliers;21;Jalen Jones;SF;6-7;220;May 27, 1993;us;1;Texas A&M
2018-19;Cleveland Cavaliers;20;Brandon Knight;PG;6-2;182;December 2, 1991;us;6;Kentucky
2018-19;Cleveland Cavaliers;26;Kyle Korver;PF;6-7;212;March 17, 1981;us;15;Creighton
2018-19;Cleveland Cavaliers;0;Kevin Love;PF;6-8;251;September 7, 1988;us;10;UCLA
2018-19;Cleveland Cavaliers;3;Patrick McCaw;SG;6-7;181;October 25, 1995;us;2;UNLV
2018-19;Cleveland Cavaliers;22;Larry Nance Jr.;C;6-7;245;January 1, 1993;us;3;Wyoming
2018-19;Cleveland Cavaliers;12;David Nwaba;SF;6-5;219;January 14, 1993;us;2;Cal Poly
2018-19;Cleveland Cavaliers;16;Cedi Osman;SF;6-7;230;April 8, 1995;mk;1;
2018-19;Cleveland Cavaliers;3;Cameron Payne;PG;6-1;183;August 8, 1994;us;3;Murray State
2018-19;Cleveland Cavaliers;2;Collin Sexton;PG;6-1;190;January 4, 1999;us;R;Alabama
2018-19;Cleveland Cavaliers;3;Kobi Simmons;PG;6-5;166;July 4, 1997;us;1;Arizona
2018-19;Cleveland Cavaliers;5;J.R. Smith;SG;6-6;225;September 9, 1985;us;14;
2018-19;Cleveland Cavaliers;1;Nik Stauskas;SG;6-6;205;October 7, 1993;ca;4;Michigan
2018-19;Cleveland Cavaliers;13;Tristan Thompson;C;6-9;254;March 13, 1991;ca;7;Texas
2018-19;Cleveland Cavaliers;41;Ante Žižić;C;6-10;266;January 4, 1997;hr;1;
2019-20;Cleveland Cavaliers;5;Marques Bolden;C;6-10;249;April 17, 1998;us;R;Duke
2019-20;Cleveland Cavaliers;8;Jordan Clarkson;SG;6-4;194;June 7, 1992;us;5;Tulsa, Missouri
2019-20;Cleveland Cavaliers;21;Tyler Cook;PF;6-8;255;September 23, 1997;us;R;Iowa
2019-20;Cleveland Cavaliers;18;Matthew Dellavedova;PG;6-3;200;September 8, 1990;au;6;Saint Mary's
2019-20;Cleveland Cavaliers;3;Andre Drummond;C;6-10;279;August 10, 1993;us;7;UConn
2019-20;Cleveland Cavaliers;1;Dante Exum;SG;6-5;214;July 13, 1995;au;4;
2019-20;Cleveland Cavaliers;10;Darius Garland;SG;6-1;192;January 26, 2000;us;R;Vanderbilt
2019-20;Cleveland Cavaliers;31;John Henson;C;6-9;219;December 28, 1990;us;7;UNC
2019-20;Cleveland Cavaliers;20;Brandon Knight;SG;6-2;182;December 2, 1991;us;7;Kentucky
2019-20;Cleveland Cavaliers;0;Kevin Love;PF;6-8;251;September 7, 1988;us;11;UCLA
2019-20;Cleveland Cavaliers;55;J.P. Macura;SG;6-5;203;June 5, 1995;us;1;Xavier
2019-20;Cleveland Cavaliers;28;Alfonzo McKinnie;SF;6-7;215;September 17, 1992;us;2;Green Bay
2019-20;Cleveland Cavaliers;31;Matt Mooney;SG;6-3;199;February 7, 1997;us;R;Air Force, South Dakota, Texas Tech
2019-20;Cleveland Cavaliers;22;Larry Nance Jr.;PF;6-7;245;January 1, 1993;us;4;Wyoming
2019-20;Cleveland Cavaliers;14;Malik Newman;SG;6-3;190;February 21, 1997;us;R;Mississippi State, Kansas
2019-20;Cleveland Cavaliers;16;Cedi Osman;SF;6-7;230;April 8, 1995;mk;2;
2019-20;Cleveland Cavaliers;4;Kevin Porter Jr.;SF;6-4;203;May 4, 2000;us;R;USC
2019-20;Cleveland Cavaliers;2;Collin Sexton;PG;6-1;190;January 4, 1999;us;1;Alabama
2019-20;Cleveland Cavaliers;13;Tristan Thompson;PF;6-9;254;March 13, 1991;ca;8;Texas
2019-20;Cleveland Cavaliers;32;Dean Wade;PF;6-9;228;November 20, 1996;us;R;Kansas State
2019-20;Cleveland Cavaliers;41;Ante Žižić;C;6-10;266;January 4, 1997;hr;2;
2020-21;Cleveland Cavaliers;31;Jarrett Allen;C;6-11;243;April 21, 1998;us;3;Texas
2020-21;Cleveland Cavaliers;24;Marques Bolden;C;6-10;249;April 17, 1998;us;1;Duke
2020-21;Cleveland Cavaliers;4;Quinn Cook;PG;6-1;180;March 23, 1993;us;4;Duke
2020-21;Cleveland Cavaliers;18;Matthew Dellavedova;PG;6-3;200;September 8, 1990;au;7;Saint Mary's
2020-21;Cleveland Cavaliers;21;Damyean Dotson;SG;6-5;210;May 6, 1994;us;3;Oregon, Houston
2020-21;Cleveland Cavaliers;3;Andre Drummond;C;6-10;279;August 10, 1993;us;8;UConn
2020-21;Cleveland Cavaliers;1;Dante Exum;SG;6-5;214;July 13, 1995;au;5;
2020-21;Cleveland Cavaliers;5;Yogi Ferrell;PG;6-0;178;May 9, 1993;us;4;Indiana
2020-21;Cleveland Cavaliers;10;Darius Garland;PG;6-1;192;January 26, 2000;us;1;Vanderbilt
2020-21;Cleveland Cavaliers;55;Isaiah Hartenstein;C;7-0;250;May 5, 1998;us;2;
2020-21;Cleveland Cavaliers;27;Mfiondu Kabengele;PF;6-9;250;August 14, 1997;ca;1;Florida State
2020-21;Cleveland Cavaliers;0;Kevin Love;PF;6-8;251;September 7, 1988;us;12;UCLA
2020-21;Cleveland Cavaliers;14;Thon Maker;C;7-0;221;February 25, 1997;ss;4;
2020-21;Cleveland Cavaliers;3;Jeremiah Martin;PG;6-3;185;June 19, 1996;us;1;Memphis
2020-21;Cleveland Cavaliers;6;JaVale McGee;C;7-0;270;January 19, 1988;us;12;Nevada
2020-21;Cleveland Cavaliers;22;Larry Nance Jr.;PF;6-7;245;January 1, 1993;us;5;Wyoming
2020-21;Cleveland Cavaliers;35;Isaac Okoro;SG;6-5;225;January 26, 2001;us;R;Auburn
2020-21;Cleveland Cavaliers;16;Cedi Osman;SF;6-7;230;April 8, 1995;mk;3;
2020-21;Cleveland Cavaliers;12;Taurean Prince;PF;6-7;218;March 22, 1994;us;4;Baylor
2020-21;Cleveland Cavaliers;2;Collin Sexton;SG;6-1;190;January 4, 1999;us;2;Alabama
2020-21;Cleveland Cavaliers;8;Lamar Stevens;PF;6-6;230;July 9, 1997;us;R;Penn State
2020-21;Cleveland Cavaliers;33;Brodric Thomas;SG;6-5;185;January 28, 1997;us;R;Truman State University
2020-21;Cleveland Cavaliers;17;Anderson Varejão;C;6-11;273;September 28, 1982;br;13;
2020-21;Cleveland Cavaliers;32;Dean Wade;PF;6-9;228;November 20, 1996;us;1;Kansas State
2020-21;Cleveland Cavaliers;9;Dylan Windler;SF;6-6;196;September 22, 1996;us;R;Belmont
2021-22;Cleveland Cavaliers;31;Jarrett Allen;C;6-11;243;April 21, 1998;us;4;Texas
2021-22;Cleveland Cavaliers;1;Justin Anderson;SF;6-6;230;November 19, 1993;us;5;Virginia
2021-22;Cleveland Cavaliers;6;Moses Brown;C;7-2;245;October 13, 1999;us;2;UCLA
2021-22;Cleveland Cavaliers;21;Ed Davis;C;6-9;218;June 5, 1989;us;11;UNC
2021-22;Cleveland Cavaliers;99;Tacko Fall;C;7-6;311;December 10, 1995;sn;2;Central Florida
2021-22;Cleveland Cavaliers;12;Tim Frazier;PG;6-0;170;November 1, 1990;us;7;Penn State
2021-22;Cleveland Cavaliers;10;Darius Garland;PG;6-1;192;January 26, 2000;us;2;Vanderbilt
2021-22;Cleveland Cavaliers;00, 26;Brandon Goodwin;PG;6-0;180;October 2, 1995;us;3;Central Florida, Florida Gulf Coast
2021-22;Cleveland Cavaliers;12;Luke Kornet;C;7-2;250;July 15, 1995;us;4;Vanderbilt
2021-22;Cleveland Cavaliers;3;Caris LeVert;SG;6-6;205;August 25, 1994;us;5;Michigan
2021-22;Cleveland Cavaliers;0;Kevin Love;C;6-8;251;September 7, 1988;us;13;UCLA
2021-22;Cleveland Cavaliers;24;Lauri Markkanen;SF;7-0;240;May 22, 1997;fi;4;Arizona
2021-22;Cleveland Cavaliers;4;Evan Mobley;PF;7-0;215;June 18, 2001;us;R;USC
2021-22;Cleveland Cavaliers;5;RJ Nembhard Jr.;SG;6-5;200;March 22, 1999;us;R;TCU
2021-22;Cleveland Cavaliers;14;Malik Newman;PG;6-3;190;February 21, 1997;us;1;Mississippi State, Kansas
2021-22;Cleveland Cavaliers;35;Isaac Okoro;SF;6-5;225;January 26, 2001;us;1;Auburn
2021-22;Cleveland Cavaliers;16;Cedi Osman;SF;6-7;230;April 8, 1995;mk;4;
2021-22;Cleveland Cavaliers;6;Kevin Pangos;PG;6-2;179;January 26, 1993;ca;R;Gonzaga
2021-22;Cleveland Cavaliers;1;Rajon Rondo;PG;6-1;180;February 22, 1986;us;15;Kentucky
2021-22;Cleveland Cavaliers;3;Ricky Rubio;PG;6-2;190;October 21, 1990;es;10;
2021-22;Cleveland Cavaliers;15;Tre Scott;SF;6-8;225;November 25, 1996;us;R;Cincinnati
2021-22;Cleveland Cavaliers;2;Collin Sexton;SG;6-1;190;January 4, 1999;us;3;Alabama
2021-22;Cleveland Cavaliers;8;Lamar Stevens;PF;6-6;230;July 9, 1997;us;1;Penn State
2021-22;Cleveland Cavaliers;45;Denzel Valentine;SG;6-4;220;November 16, 1993;us;4;Michigan State
2021-22;Cleveland Cavaliers;32;Dean Wade;PF;6-9;228;November 20, 1996;us;2;Kansas State
2021-22;Cleveland Cavaliers;9;Dylan Windler;SF;6-6;196;September 22, 1996;us;1;Belmont
2022-23;Cleveland Cavaliers;35;Isaac Okoro;SF;6-5;225;January 26, 2001;us;2;Auburn
2022-23;Cleveland Cavaliers;4;Evan Mobley;PF;7-0;215;June 18, 2001;us;1;USC
2022-23;Cleveland Cavaliers;16;Cedi Osman;SF;6-7;230;April 8, 1995;mk;5;
2022-23;Cleveland Cavaliers;3;Caris LeVert;SG;6-6;205;August 25, 1994;us;6;Michigan
2022-23;Cleveland Cavaliers;31;Jarrett Allen;C;6-11;243;April 21, 1998;us;5;Texas
2022-23;Cleveland Cavaliers;10;Darius Garland;PG;6-1;192;January 26, 2000;us;3;Vanderbilt
2022-23;Cleveland Cavaliers;45;Donovan Mitchell;SG;6-1;215;September 7, 1996;us;5;Louisville
2022-23;Cleveland Cavaliers;0;Kevin Love;PF;6-8;251;September 7, 1988;us;14;UCLA
2022-23;Cleveland Cavaliers;8;Lamar Stevens;PF;6-6;230;July 9, 1997;us;2;Penn State
2022-23;Cleveland Cavaliers;19;Raul Neto;PG;6-1;180;May 19, 1992;br;7;
2022-23;Cleveland Cavaliers;32;Dean Wade;PF;6-9;228;November 20, 1996;us;3;Kansas State
2022-23;Cleveland Cavaliers;33;Robin Lopez;C;7-0;281;April 1, 1988;us;14;Stanford
2022-23;Cleveland Cavaliers;21;Mamadi Diakite (TW);PF;6-9;228;January 21, 1997;gn;2;Virginia
2022-23;Cleveland Cavaliers;13;Ricky Rubio;PG;6-2;190;October 21, 1990;es;11;
2022-23;Cleveland Cavaliers;15;Isaiah Mobley (TW);PF;6-10;240;September 24, 1999;us;R;USC
2022-23;Cleveland Cavaliers;;Dylan Windler;SF;6-6;196;September 22, 1996;us;2;Belmont
1980-81;Dallas Mavericks;32;Darrell Allums;PF;6-9;220;September 12, 1958;us;R;UCLA
1980-81;Dallas Mavericks;6;Winford Boynes;SG;6-6;185;May 17, 1957;us;2;San Francisco
1980-81;Dallas Mavericks;45;Marty Byrnes;SF;6-7;215;April 30, 1956;us;2;Syracuse
1980-81;Dallas Mavericks;34;Austin Carr;SG;6-4;200;March 10, 1948;us;9;Notre Dame
1980-81;Dallas Mavericks;15;Brad Davis;PG;6-3;180;December 17, 1955;us;3;Maryland
1980-81;Dallas Mavericks;43;Monti Davis;PF;6-7;205;July 26, 1958;us;R;Tennessee State
1980-81;Dallas Mavericks;52;Ralph Drollinger;C;7-2;250;April 20, 1954;us;R;UCLA
1980-81;Dallas Mavericks;42;Terry Duerod;SF;6-2;180;July 29, 1956;us;1;Detroit Mercy
1980-81;Dallas Mavericks;10;Joe Hassett;SG;6-5;180;September 11, 1955;us;3;Providence
1980-81;Dallas Mavericks;20;Geoff Huston;PG;6-2;175;November 8, 1957;us;1;Texas Tech
1980-81;Dallas Mavericks;11;Abdul Jeelani;SF;6-8;210;February 10, 1954;us;1;University of Wisconsin-Parkside
1980-81;Dallas Mavericks;53;Clarence Kea;PF;6-6;218;February 2, 1959;us;R;Lamar
1980-81;Dallas Mavericks;21;Chad Kinch;SG;6-4;190;May 22, 1958;us;R;UNC Charlotte
1980-81;Dallas Mavericks;25;Tom LaGarde;C;6-10;220;February 10, 1955;us;3;UNC
1980-81;Dallas Mavericks;44;Scott Lloyd;C;6-10;230;December 19, 1952;us;3;Arizona State
